Episode 001/1000 | Score:   0 | Reward: -20.2 | Epsilon: 0.99500000 | Steps: 103
Episode 002/1000 | Score:   0 | Reward: -17.7 | Epsilon: 0.99002500 | Steps:  78
Episode 003/1000 | Score:   1 | Reward: -23.6 | Epsilon: 0.98507488 | Steps: 238
Episode 004/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.98014950 | Steps: 201
Episode 005/1000 | Score:   0 | Reward: -23.6 | Epsilon: 0.97524875 | Steps: 137
Episode 006/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.97037251 | Steps: 201
Episode 007/1000 | Score:   0 | Reward: -20.5 | Epsilon: 0.96552065 | Steps: 106
Episode 008/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.96069304 | Steps: 201
Episode 009/1000 | Score:   0 | Reward: -24.6 | Epsilon: 0.95588958 | Steps: 147
Episode 010/1000 | Score:   0 | Reward: -20.0 | Epsilon: 0.95111013 | Steps: 101
Episode 011/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.94635458 | Steps: 201
Episode 012/1000 | Score:   0 | Reward: -25.6 | Epsilon: 0.94162281 | Steps: 157
Episode 013/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.93691469 | Steps: 201
Episode 014/1000 | Score:   0 | Reward: -23.8 | Epsilon: 0.93223012 | Steps: 139
Episode 015/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.92756897 | Steps: 201
Episode 016/1000 | Score:   0 | Reward: -24.7 | Epsilon: 0.92293112 | Steps: 148
Episode 017/1000 | Score:   0 | Reward: -21.7 | Epsilon: 0.91831647 | Steps: 118
Episode 018/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.91372489 | Steps: 201
Episode 019/1000 | Score:   0 | Reward: -25.6 | Epsilon: 0.90915626 | Steps: 157
Episode 020/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.90461048 | Steps: 201
Episode 021/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.90008743 | Steps: 201
Episode 022/1000 | Score:   0 | Reward: -22.3 | Epsilon: 0.89558699 | Steps: 124
Episode 023/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.89110906 | Steps: 201
Episode 024/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.88665351 | Steps: 201
Episode 025/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.88222024 | Steps: 201
Episode 026/1000 | Score:   0 | Reward: -20.5 | Epsilon: 0.87780914 | Steps: 106
Episode 027/1000 | Score:   1 | Reward: -24.6 | Epsilon: 0.87342010 | Steps: 248
Episode 028/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.86905300 | Steps: 201
Episode 029/1000 | Score:   0 | Reward: -14.9 | Epsilon: 0.86470773 | Steps:  50
Episode 030/1000 | Score:   0 | Reward: -19.0 | Epsilon: 0.86038419 | Steps:  91
Episode 031/1000 | Score:   0 | Reward: -26.4 | Epsilon: 0.85608227 | Steps: 165
Episode 032/1000 | Score:   0 | Reward: -17.4 | Epsilon: 0.85180186 | Steps:  75
Episode 033/1000 | Score:   0 | Reward: -25.2 | Epsilon: 0.84754285 | Steps: 153
Episode 034/1000 | Score:   1 | Reward: -23.4 | Epsilon: 0.84330514 | Steps: 236
Episode 035/1000 | Score:   0 | Reward: -25.2 | Epsilon: 0.83908861 | Steps: 153
Episode 036/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.83489317 | Steps: 201
Episode 037/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.83071870 | Steps: 201
Episode 038/1000 | Score:   0 | Reward: -19.2 | Epsilon: 0.82656511 | Steps:  93
Episode 039/1000 | Score:   0 | Reward: -27.9 | Epsilon: 0.82243228 | Steps: 180
Episode 040/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.81832012 | Steps: 201
Episode 041/1000 | Score:   0 | Reward: -24.8 | Epsilon: 0.81422852 | Steps: 149
Episode 042/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.81015738 | Steps: 201
Episode 043/1000 | Score:   0 | Reward: -15.0 | Epsilon: 0.80610659 | Steps:  51
Episode 044/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.80207606 | Steps: 201
Episode 045/1000 | Score:   0 | Reward: -21.2 | Epsilon: 0.79806568 | Steps: 113
Episode 046/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.79407535 | Steps: 201
Episode 047/1000 | Score:   0 | Reward: -21.8 | Epsilon: 0.79010497 | Steps: 119
Episode 048/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.78615445 | Steps: 201
Episode 049/1000 | Score:   0 | Reward: -14.4 | Epsilon: 0.78222368 | Steps:  45
Episode 050/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.77831256 | Steps: 201
Episode 051/1000 | Score:   0 | Reward: -16.1 | Epsilon: 0.77442099 | Steps:  62
Episode 052/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.77054889 | Steps: 201
Episode 053/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.76669614 | Steps: 201
Episode 054/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.76286266 | Steps: 201
Episode 055/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.75904835 | Steps: 201
Episode 056/1000 | Score:   0 | Reward: -29.0 | Epsilon: 0.75525311 | Steps: 191
Episode 057/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.75147684 | Steps: 201
Episode 058/1000 | Score:   0 | Reward: -24.8 | Epsilon: 0.74771946 | Steps: 149
Episode 059/1000 | Score:   0 | Reward: -25.8 | Epsilon: 0.74398086 | Steps: 159
Episode 060/1000 | Score:   1 | Reward: -9.3 | Epsilon: 0.74026096 | Steps:  95
Episode 061/1000 | Score:   0 | Reward: -26.8 | Epsilon: 0.73655965 | Steps: 169
Episode 062/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.73287685 | Steps: 201
Episode 063/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.72921247 | Steps: 201
Episode 064/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.72556641 | Steps: 201
Episode 065/1000 | Score:   0 | Reward: -28.9 | Epsilon: 0.72193858 | Steps: 190
Episode 066/1000 | Score:   0 | Reward: -25.2 | Epsilon: 0.71832888 | Steps: 153
Episode 067/1000 | Score:   0 | Reward: -19.8 | Epsilon: 0.71473724 | Steps:  99
Episode 068/1000 | Score:   0 | Reward: -21.9 | Epsilon: 0.71116355 | Steps: 120
Episode 069/1000 | Score:   0 | Reward: -23.4 | Epsilon: 0.70760773 | Steps: 135
Episode 070/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.70406970 | Steps: 201
Episode 071/1000 | Score:   0 | Reward: -27.6 | Epsilon: 0.70054935 | Steps: 177
Episode 072/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.69704660 | Steps: 201
Episode 073/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.69356137 | Steps: 201
Episode 074/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.69009356 | Steps: 201
Episode 075/1000 | Score:   0 | Reward: -21.2 | Epsilon: 0.68664309 | Steps: 113
Episode 076/1000 | Score:   0 | Reward: -23.4 | Epsilon: 0.68320988 | Steps: 135
Episode 077/1000 | Score:   0 | Reward: -16.1 | Epsilon: 0.67979383 | Steps:  62
